train_loss,out_tensor([0.]),out_tensor([1.]),epoch,step
0.9423884749412537,0.0263478085398674,0.029233062639832497,24,49
0.9172655940055847,0.03843406215310097,0.04226018860936165,49,99
0.8837809562683105,0.05472636967897415,0.05990372225642204,74,149
0.8400838375091553,0.0763900950551033,0.08343912661075592,99,199
0.7853687405586243,0.10428641736507416,0.1137896478176117,124,249
0.72096186876297,0.13841868937015533,0.15090525150299072,149,299
0.6508703827857971,0.17743365466594696,0.1932346373796463,174,349
0.580870509147644,0.21868155896663666,0.23785141110420227,199,399
0.5163853168487549,0.2590350806713104,0.2814004123210907,224,449
0.4607236087322235,0.29594478011131287,0.32123371958732605,249,499
0.41478490829467773,0.3280029892921448,0.35596200823783875,274,549
0.3778397738933563,0.35486018657684326,0.3853132724761963,299,599
0.3484651744365692,0.37682944536209106,0.40969064831733704,324,649
0.3251519203186035,0.39451465010643005,0.429779052734375,349,699
0.3065769374370575,0.40857744216918945,0.44630613923072815,374,749
0.2916715443134308,0.41962510347366333,0.4599337875843048,399,799
0.279605507850647,0.42817288637161255,0.4712226390838623,424,849
0.2697424292564392,0.4346392750740051,0.48063263297080994,449,899
0.2615954875946045,0.4393577575683594,0.48853594064712524,474,949
0.25478991866111755,0.4425897002220154,0.49523282051086426,499,999
0.2490338534116745,0.4445381462574005,0.5009670853614807,524,1049
0.24409662187099457,0.44535940885543823,0.5059386491775513,549,1099
0.23979321122169495,0.44517186284065247,0.5103131532669067,574,1149
0.23597103357315063,0.4440636932849884,0.5142315030097961,599,1199
0.23250238597393036,0.44209808111190796,0.5178149938583374,624,1249
0.2292766124010086,0.4393177032470703,0.5211716294288635,649,1299
0.2261950820684433,0.4357488453388214,0.5244002938270569,674,1349
0.2231680154800415,0.43140265345573425,0.5275933742523193,699,1399
0.22011011838912964,0.4262784719467163,0.530841052532196,724,1449
0.21693947911262512,0.4203642010688782,0.5342323780059814,749,1499
0.21357478201389313,0.4136383831501007,0.5378584861755371,774,1549
0.20993547141551971,0.40606996417045593,0.5418128371238708,799,1599
0.2059416025876999,0.39761853218078613,0.5461921095848083,824,1649
0.2015136033296585,0.3882349133491516,0.5510973334312439,849,1699
0.1965748816728592,0.37786075472831726,0.5566323399543762,874,1749
0.19105316698551178,0.3664300739765167,0.5629037022590637,899,1799
0.1848853975534439,0.3538706302642822,0.5700169801712036,924,1849
0.17802181839942932,0.34010785818099976,0.5780736804008484,949,1899
0.17043210566043854,0.325072705745697,0.5871657729148865,974,1949
0.16211165487766266,0.30871376395225525,0.5973690748214722,999,1999
