train_loss,out_tensor([0.]),out_tensor([1.]),epoch,step
0.0009486757917329669,0.000654276751447469,0.9691994190216064,24,49
0.0007699012639932334,0.00012322870315983891,0.9722529053688049,49,99
0.0006393917719833553,8.69897921802476e-05,0.9747138023376465,74,149
0.000541690387763083,7.075232861097902e-05,0.9767257571220398,99,199
0.0004664959851652384,5.761907959822565e-05,0.9784014821052551,124,249
0.0004072078154422343,4.6869412472005934e-05,0.9798206090927124,149,299
0.00035947252763435245,3.695242776302621e-05,0.9810402393341064,174,349
0.000321334257023409,-0.0004961609374731779,0.9820742011070251,199,399
0.00029028693097643554,-7.1870228566695e-05,0.9829621911048889,224,449
0.00026381894713267684,2.265530201839283e-05,0.983757495880127,249,499
0.00024103251053020358,2.256308653159067e-05,0.984474778175354,274,549
0.00022125837858766317,5.301515557221137e-05,0.9851252436637878,299,599
0.00020445218251552433,-0.0009572095586918294,0.985701322555542,324,649
0.00018982098845299333,-6.997469608904794e-05,0.9862224459648132,349,699
0.0001767632202245295,8.322223038703669e-06,0.9867047667503357,374,749
0.0001650731428526342,1.1089156032539904e-05,0.9871519207954407,399,799
0.00015456003893632442,-0.00031690331525169313,0.9875677824020386,424,849
0.00014537715469487011,0.0006787159363739192,0.9879427552223206,449,899
0.0001370414684060961,-4.884179725195281e-05,0.9882935285568237,474,949
0.00012941933528054506,1.319649709330406e-05,0.9886237382888794,499,999
0.00012243831588421017,1.241282734554261e-05,0.9889348149299622,524,1049
0.00011611025547608733,-0.0003773768257815391,0.9892245531082153,549,1099
0.00011044438724638894,-5.37963533133734e-05,0.9894907474517822,574,1149
0.0001051609287969768,-9.708271136332769e-06,0.9897451996803284,599,1199
0.00010025627125287428,3.634420636444702e-06,0.9899871945381165,624,1249
9.568900713929906e-05,-6.36946515442105e-06,0.990217924118042,649,1299
9.149484685622156e-05,-0.0016750463983044028,0.9904347062110901,674,1349
8.770364365773275e-05,-0.0001307945785811171,0.9906349778175354,699,1399
8.410194277530536e-05,-1.7225456758751534e-05,0.9908292889595032,724,1449
8.071706542978063e-05,1.2407131180225406e-06,0.9910157322883606,749,1499
7.753181853331625e-05,-2.0024659534101374e-05,0.9911947846412659,774,1549
7.460414053639397e-05,-0.0027567537035793066,0.9913626313209534,799,1599
7.189342431956902e-05,-0.00010274197848048061,0.9915210008621216,824,1649
6.930431118234992e-05,-4.35343963545165e-06,0.991675078868866,849,1699
6.684744585072622e-05,5.908493221795652e-06,0.9918239712715149,874,1749
6.451724038925022e-05,-4.942842497257516e-05,0.9919677376747131,899,1799
6.238174682948738e-05,0.0005517341196537018,0.992101788520813,924,1849
6.0363665397744626e-05,8.786097168922424e-05,0.9922305941581726,949,1899
5.842796599608846e-05,-6.696454420307418e-06,0.9923561811447144,974,1949
5.657759902533144e-05,-1.1446016969784978e-06,0.9924781918525696,999,1999
5.4809941502753645e-05,5.916201553191058e-05,0.9925966262817383,1024,2049
5.318242619978264e-05,-0.0002685875806491822,0.992707371711731,1049,2099
5.1640246965689585e-05,-2.68222788690764e-06,0.9928138852119446,1074,2149
5.014607449993491e-05,1.17753677386645e-06,0.9929186105728149,1099,2199
4.871044075116515e-05,1.5587266943839495e-07,0.9930207133293152,1124,2249
4.7332556277979165e-05,-1.9013765268027782e-05,0.9931201338768005,1149,2299
4.6044791815802455e-05,-0.0021878767292946577,0.9932143688201904,1174,2349
4.484979581320658e-05,-0.00025524734519422054,0.9933030009269714,1199,2399
4.366972643765621e-05,8.778301889833529e-06,0.9933916926383972,1224,2449
4.253181759850122e-05,-1.507195293015684e-06,0.9934783577919006,1249,2499
